demand_id,ministry,department,csv_name
87,Ministry of Rural Development,Department of Rural Development,dno_87.csv
88,Ministry of Rural Development,Department of Land Resources,dno_88.csv
89,Ministry of Science and Technology,Department of Science and Technology,dno_89.csv
90,Ministry of Science and Technology,Department of Biotechnology,dno_90.csv
91,Ministry of Science and Technology,Department of Scientific and Industrial Research,dno_91.csv
92,Ministry of Skill Development and Entrepreneurship,Ministry of Skill Development and Entrepreneurship,dno_92.csv
93,Ministry of Social Justice and Empowerment,Department of Social Justice and Empowerment,dno_93.csv
94,Ministry of Social Justice and Empowerment,Department of Empowerment of Persons with Disabilities,dno_94.csv
95,Deparment of Space,Department of Space,dno_95.csv
96,Ministry of Statistics and Programme Implementation,Ministry of Statistics and Programme Implementation,dno_96.csv
97,Ministry of Steel,Ministry of Steel,dno_97.csv
98,Ministry of Textiles,Ministry of Textiles,dno_98.csv
99,Ministry of Tourism,Ministry of Tourism,dno_99.csv
100,Ministry of Tribal Affairs,Ministry of Tribal Affairs,dno_100.csv
101,Ministry of Women and Child Development,Ministry of Women and Child Development,dno_101.csv
102,Ministry of Youth Affairs and Sports,Ministry of Youth Affairs and Sports,dno_102.csv
